,Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Airport_Code,Airport_Name,Injury_Severity,Aircraft_Damage,Registration_Number,Make,Model,Amateur_Built,Number_Of_Engines,Engine_Type,Purpose_Of_Flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_Phase_Of_Flight,Report_Status,Publication_Date,Total_Passengers,Fatal_Injuries_Rate,Uninjured_Rate
78234,20160516X92239,Accident,DCA16CA153,2016-05-14,"Philadelphia, PA",United States,,,Non-Fatal,,N103US,Airbus,A320-214,No,2.0,Turbo Fan,,0.0,0.0,1.0,140.0,Unk,,an inadvertent encounter with clear air turbulence that resulted in a serious injury to a flight attendant.,25-09-2020,141.0,0.0,0.9929078014184397
78260,20160519X25150,Accident,DCA16RA156,2016-05-19,"Cairo, Egypt",Egypt,,,Fatal,Destroyed,SU-GCC,Airbus,A320,No,,Turbo Fan,,66.0,0.0,0.0,0.0,,,,25-09-2020,66.0,1.0,0.0
78271,20160523X11844,Accident,GAA16CA249,2016-05-20,"El Cajon, CA",United States,SEE,GILLESPIE FIELD,Non-Fatal,Substantial,N61445,Boeing,B75,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilot's failure to maintain directional control during the landing roll in gusty crosswind conditions, which resulted in a runway excursion and nose over.",25-09-2020,1.0,0.0,1.0
78293,20160531X90157,Incident,DCA16WA166,2016-05-25,"Boston, MA",United States,,,Non-Fatal,Minor,C-FHOS,Embraer,ERJ190,No,,,,0.0,0.0,0.0,65.0,,,,25-09-2020,65.0,0.0,1.0
78298,20160531X92718,Incident,DCA16WA167,2016-05-27,"tokyo, Japan",Japan,,,Non-Fatal,,JA85AN,Boeing,737,No,,,,0.0,1.0,0.0,169.0,,,,25-09-2020,170.0,0.0,0.9941176470588236
78344,20160606X44435,Incident,DCA16WA176,2016-06-05,"Paris, France",France,,,Non-Fatal,Minor,N777AS,Boeing,777-24Q,No,2.0,Turbo Fan,,0.0,0.0,0.0,9.0,,,,25-09-2020,9.0,0.0,1.0
78350,20160614X04330,Accident,DCA16CA182,2016-06-05,"Las Vegas, NV",United States,,,Non-Fatal,,N801DZ,Boeing,737-932ER,No,2.0,Turbo Fan,,0.0,0.0,1.0,185.0,VMC,,An encounter with wake turbulence that resulted in a flight attendant injury.,25-09-2020,186.0,0.0,0.9946236559139785
78407,20160723X91246,Accident,DCA16CA202,2016-06-12,"Jamaica, NY",United States,,,Non-Fatal,,N104NN,Airbus,A321-231,No,2.0,Turbo Fan,,0.0,0.0,1.0,109.0,VMC,,an encounter with convective turbulence that resulted in a flight attendant injury.,25-09-2020,110.0,0.0,0.990909090909091
78418,20160623X12450,Accident,DCA16WA185,2016-06-15,"Madrid, Spain",Spain,,,Non-Fatal,,EC-LKX,Embraer,ERJ190,No,,,,0.0,0.0,0.0,2.0,,,,25-09-2020,2.0,0.0,1.0
78437,20160623X83406,Accident,GAA16CA328,2016-06-17,"McAllen, TX",United States,MFE,MC ALLEN MILLER INTL,Non-Fatal,Substantial,N4035W,Airbus,AS350,No,1.0,Turbo Shaft,Public Aircraft - Federal,0.0,0.0,0.0,2.0,VMC,,"The pilot's inadvertent input of the right tail rotor pedal, which resulted in a loss of directional control and an impact with service equipment.",25-09-2020,2.0,0.0,1.0
78487,20160626X35005,Accident,DCA16RA190,2016-06-26,"Singapore, Senegal",Senegal,SIN,SIngapore-Changi Intl Airport,Non-Fatal,Substantial,9V-SWB,Boeing,777,No,,Turbo Fan,,0.0,0.0,0.0,241.0,,,,25-09-2020,241.0,0.0,1.0
78490,20160627X21034,Accident,DCA16CA193,2016-06-26,"New Orleans, LA",United States,,,Non-Fatal,,N69806,Boeing,737,No,,,,0.0,0.0,1.0,177.0,Unk,,the improper placement of the coffee pot on the beverage cart and failure to use a safe-pour lid.,25-09-2020,178.0,0.0,0.9943820224719101
78522,20160704X60248,Accident,DCA16WA198,2016-07-01,"Charleroi, Belgium",Belgium,,,Non-Fatal,,EI-ENH,Boeing,BOEING-737-8AS,No,2.0,,,0.0,0.0,0.0,195.0,,,,25-09-2020,195.0,0.0,1.0
78565,20160707X02944,Incident,ENG16IA027,2016-07-07,"Jamaica, NY",United States,JFK,JOHN F KENNEDY INTL,Non-Fatal,Minor,N706TW,Boeing,757,No,,Turbo Fan,,0.0,0.0,0.0,157.0,Unk,,"Maintenance personnel's failure to ensure proper installation of a fuel tube O-ring, which resulted in an undercowl engine fire during initial climb.",25-09-2020,157.0,0.0,1.0
78570,20160708X61700,Incident,DCA16IA200,2016-07-08,"Rapid City, SD",United States,KRCA,Ellsworth AFB,Non-Fatal,,N333NW,Airbus,A320-211,No,2.0,Turbo Fan,,0.0,0.0,0.0,129.0,VMC,,"The flight crew's misidentification of the desired landing runway due to excess altitude requiring an extended downwind, and failure to use all available navigation information.",25-09-2020,129.0,0.0,1.0
78594,20160907X90923,Incident,ENG16WA035,2016-07-12,"Mexico City, Mexico",Mexico,,,Non-Fatal,Substantial,XA-UNY,Boeing,737,No,2.0,,,0.0,0.0,0.0,150.0,,,,25-09-2020,150.0,0.0,1.0
78618,20160721X52728,Accident,GAA16CA384,2016-07-17,"St. James, MO",United States,,,Non-Fatal,Substantial,N4558N,Boeing,A75,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,VMC,,The pilot's loss of control while performing an aerobatic maneuver resulting in an inadvertent spin and collision with trees and terrain.,25-09-2020,2.0,0.0,0.5
78666,20160726X02205,Accident,CEN16FA286,2016-07-26,"Sugar Land, TX",United States,SGR,Sugar Land Regional,Non-Fatal,Substantial,N362FX,Embraer,EMB-505,No,2.0,Turbo Fan,,0.0,2.0,0.0,1.0,VMC,,"The airplanes hydroplaning during the landing roll, which resulted in a runway excursion. Contributing to the accident was the pilots continuation of an unstabilized approach, his decision to land in heavy rain conditions, and his improper use of the main and emergency brake systems. Also contributing was the air traffic controllers failure to disseminate current airport weather conditions to the flight crew in a timely manner.",25-06-2021,3.0,0.0,0.3333333333333333
78668,20160805X50153,Accident,DCA16CA208,2016-07-26,"Cleveland, OH",United States,KCLE,Cleveland-Hopkins Internationa,Non-Fatal,,N655RW,Embraer,ERJ-170-100-SE,No,2.0,Turbo Fan,,0.0,0.0,1.0,52.0,VMC,,an inadvertent encounter with turbulence.,25-09-2020,53.0,0.0,0.9811320754716981
78681,20160803X71952,Accident,DCA16CA205,2016-07-28,"Bermuda, Bangladesh",Bangladesh,,,Non-Fatal,,N913JB,Airbus,A321-231,No,2.0,Turbo Fan,,0.0,0.0,1.0,6.0,VMC,,an inadvertent encounter with clear air turbulence.,25-09-2020,7.0,0.0,0.8571428571428571
78701,20160821X03100,Incident,DCA16WA213,2016-07-31,"Makassar, Indonesia",Indonesia,,,Non-Fatal,,PK-GMK,Boeing,737,No,,,,0.0,0.0,0.0,155.0,,,,25-09-2020,155.0,0.0,1.0
78702,20160831X14546,Accident,ERA16WA306,2016-07-31,"Londrina City, Brazil",Brazil,SBLO,Londrina Airport,Fatal,Destroyed,PT-EFQ,Embraer,EMB820,No,,Reciprocating,Personal,8.0,0.0,0.0,0.0,,,,25-09-2020,8.0,1.0,0.0
78715,20160828X14750,Incident,DCA16WA216,2016-08-02,"Mbuji Mayi, Central Africa",Central Africa,,,Non-Fatal,Minor,9Q-DBJ,Boeing,737,No,,,,0.0,0.0,0.0,7.0,,,,25-09-2020,7.0,0.0,1.0
78716,20160803X01548,Accident,DCA16RA206,2016-08-03,"Dubai, Turks And Caicos",Turks And Caicos,,,Fatal,Destroyed,A6-EMW,Boeing,777,No,,,,0.0,0.0,0.0,300.0,,,,25-09-2020,300.0,0.0,1.0
78726,20160805X51304,Accident,DCA16CA209,2016-08-03,"Grand Cayman Island (GCM), Cayman Islands",Cayman Islands,,,Non-Fatal,,N9010R,Airbus,A319-115,No,2.0,,,0.0,7.0,1.0,121.0,VMC,,an inadvertent encounter with clear air turbulence.,25-09-2020,129.0,0.0,0.937984496124031
78736,20160805X44633,Accident,DCA16CA207,2016-08-05,"Baltimore, MD",United States,KBWI,Baltimore/Thurgood Marshall In,Non-Fatal,Substantial,N368SW,Boeing,737-3H4,No,2.0,Turbo Fan,,0.0,0.0,0.0,134.0,VMC,,the tug operators excessive speed during pushback.,25-09-2020,134.0,0.0,1.0
78752,20160817X93540,Incident,ENG16WA032,2016-08-07,"Over the Pacific, PO",UN,GUM,GUAM INTL,Non-Fatal,,VH-VKK,Boeing,787,No,2.0,Turbo Fan,,0.0,0.0,0.0,320.0,,,,25-09-2020,320.0,0.0,1.0
78771,20160811X81653,Accident,DCA16CA211,2016-08-10,"New York, NY",United States,KJFK,John F Kennedy International A,Non-Fatal,Substantial,N3762Y,Boeing,737-832,No,2.0,Turbo Fan,,0.0,0.0,0.0,168.0,VMC,,inadvertent collision by ground service vehicle.,25-09-2020,168.0,0.0,1.0
78777,20160812X71506,Incident,DCA16IA215,2016-08-12,"Wood, SD",United States,,,Non-Fatal,Minor,N632JB,Airbus,A320-232,No,2.0,Turbo Fan,,0.0,27.0,0.0,124.0,IMC,,an inadvertent encounter with convective turbulence while in cruise flight.,25-09-2020,151.0,0.0,0.8211920529801324
78806,20160822X94859,Accident,DCA16CA214,2016-08-17,"Waco, TX",United States,,,Non-Fatal,,N37408,Boeing,737-924,No,2.0,Turbo Fan,,0.0,0.0,1.0,141.0,VMC,,an encounter with convective turbulence.,25-09-2020,142.0,0.0,0.9929577464788732
78833,20160826X74427,Accident,GAA16CA450,2016-08-24,"Peach Springs, AZ",United States,1G4,GRAND CANYON WEST,Non-Fatal,Substantial,N839PA,Airbus,AS350,No,1.0,Turbo Shaft,,0.0,0.0,0.0,1.0,VMC,,"The pilot's failure to maintain clearance from terrain while hover taxiing backward, resulting in the tail striking terrain.",25-09-2020,1.0,0.0,1.0
78854,20160827X12409,Accident,WPR16FA169,2016-08-27,"Madras, OR",United States,S33,MADRAS MUNICIPAL,Fatal,Destroyed,N999PP,Boeing,A75N1(PT17),No,1.0,Reciprocating,Air Race show,1.0,0.0,0.0,0.0,VMC,,The pilot's failure to maintain clearance from the runway during a low-level aerobatic maneuver. Contributing to the accident was a high density altitude and the pilot's failure to plan/adequately compensate for high density altitude conditions.,25-09-2020,1.0,1.0,0.0
78855,20160827X31134,Accident,DCA16FA217,2016-08-27,"Pensacola, FL",United States,KPNS,Pensacola,Non-Fatal,Substantial,N766SW,Boeing,737-700,No,2.0,Turbo Fan,,0.0,0.0,0.0,104.0,VMC,,"A low-cycle fatigue crack in the dovetail of fan blade No. 23, which resulted in the fan blade separating in flight and impacting the fan case. This impact caused the fan blade to fracture into fragments that traveled farther than expected into the inlet, which compromised the structural integrity of the inlet and led to the in-flight separation of inlet components. A portion of the inlet struck the fuselage and created a hole, causing the cabin to depressurize.",04-01-2021,104.0,0.0,1.0
78874,20160908X11147,Accident,DCA16CA220,2016-08-31,"International Waters, UN",UN,,,Non-Fatal,,N657UA,Boeing,767-322,No,2.0,Turbo Fan,,0.0,11.0,1.0,0.0,VMC,,an inadvertent encounter with severe convective turbulence.,25-09-2020,12.0,0.0,0.0
78906,20160906X74252,Accident,GAA16CA467,2016-09-05,"Atlanta, TX",United States,ATA,HALL-MILLER MUNI,Non-Fatal,Substantial,N52236,Boeing,A75N1(PT17),No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,The pilot's failure to attain the proper touchdown point on a grass airstrip and the airplane's subsequent collision with trees during an attempted aborted landing.,25-09-2020,2.0,0.0,1.0
78918,20160909X41906,Incident,ENG16WA036,2016-09-07,"Tarcoola, Australia, Australia",Australia,,,Non-Fatal,,A6-EGA,Boeing,777,No,2.0,Turbo Fan,,0.0,0.0,0.0,2.0,,,,25-09-2020,2.0,0.0,1.0
78950,20160922X13145,Accident,DCA16WA225,2016-09-13,"Papua, Indonesia",Indonesia,WMX,Wamena Airport,Non-Fatal,Substantial,PK-YSY,Boeing,737,No,,,,0.0,0.0,0.0,3.0,,,,25-09-2020,3.0,0.0,1.0
78993,20161128X93412,Accident,ERA16WA337,2016-09-19,"Miranda, Brazil",Brazil,,,Fatal,Destroyed,PT-VKY,Embraer,EMB810,No,,Reciprocating,,1.0,0.0,0.0,0.0,Unk,,,25-09-2020,1.0,1.0,0.0
79011,20160930X84711,Accident,DCA16WA230,2016-09-23,"Lores, Netherlands (the)",Netherlands,,,Non-Fatal,,PH-HXA,Boeing,737,No,,,,0.0,0.0,3.0,0.0,,,,25-09-2020,3.0,0.0,0.0
79016,20160927X51937,Accident,DCA16CA226,2016-09-24,"Dulles, VA",United States,IAD,WASHINGTON DULLES INTL,Non-Fatal,Substantial,N366PH,Bombardier,DHC-8-202,No,2.0,Turbo Prop,,0.0,0.0,0.0,24.0,VMC,,incorrect installation of the frangible towing fuse that prevented the nose landing gear from extending.,25-09-2020,24.0,0.0,1.0
79076,20161011X51744,Accident,DCA17CA005,2016-10-05,"Denver, CO",United States,KDEN,Denver International Airport,Non-Fatal,,N8324A,Boeing,737-8H4,No,2.0,,,0.0,0.0,1.0,178.0,Unk,,the flight attendant losing her balance as she was removing her carry-on baggage resulted in her falling against an arm rest causing the serious injury.,25-09-2020,179.0,0.0,0.994413407821229
79102,20161027X90500,Incident,DCA17WA012,2016-10-10,"Surabaya, Indonesia",Indonesia,WAAR,Djuandu International Airport,Non-Fatal,Substantial,PK-CKF,Boeing,737,No,,,,0.0,0.0,0.0,108.0,,,,25-09-2020,108.0,0.0,1.0
79159,20161101X11028,Accident,GAA17CA053,2016-10-22,"Valley Center, KS",United States,3KS5,HIGH POINT,Non-Fatal,Substantial,N68117,Boeing,A75N1(PT17),No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,,The other pilot's failure to maintain directional control during the landing roll and to see and avoid the airplane stopped on the edge of the runway.,25-09-2020,3.0,0.0,1.0
79172,20161101X00309,Accident,CEN17LA032,2016-10-25,"Ingleside, TX",United States,TFP,McCampbell-Porter Airport,Non-Fatal,Substantial,N48182,Boeing,A75N1-(PT17),No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilot's failure to maintain proper yaw and roll control during takeoff, which resulted in excessive adverse yaw upon liftoff.",25-09-2020,1.0,0.0,1.0
79174,20161119X82656,Accident,ERA17WA051,2016-10-25,"Espumoso, Brazil",Brazil,,,Fatal,Substantial,PT-NQS,Embraer,EMB711,No,1.0,Reciprocating,,2.0,0.0,0.0,0.0,VMC,,,25-09-2020,2.0,1.0,0.0
79179,20161027X90950,Incident,ENG17IA003,2016-10-26,"Seattle, WA",United States,SEA,Seattle-Tacoma Intl,Non-Fatal,,N855NW,Airbus,A330-223,No,2.0,Turbo Fan,,0.0,0.0,0.0,120.0,Unk,,A No. 1 engine fire caused by a fuel manifold supply line high cycle fatigue crack which led to a fuel leak that subsequently ignited on hot engine case surfaces. The fatigue crack originated and progressed due to elevated fuel manifold assembly vibration levels. Engine vibration testing identified a combustor tone that excites a natural (resonant) frequency of the fuel manifolds at specific engine speeds on Pratt & Whitney PW4000-94 and -100 inch fan series engines that feature a TALON II combustor.,25-09-2020,120.0,0.0,1.0
79180,20161027X20715,Incident,DCA17IA020,2016-10-27,"New York, NY",United States,LGA,New Yor La Guardia,Non-Fatal,Minor,N278EA,Boeing,737-7L9,No,2.0,Turbo Fan,,0.0,0.0,0.0,48.0,IMC,,"The first officer's failure to attain the proper touchdown point and the flight crew's failure to call for a go-around, which resulted in the airplane landing more than halfway down the runway. Contributing to the incident were, the first officer's initiation of the landing flare at a relatively high altitude and his delay in reducing the throttles to idle, the captain's delay in manually deploying the speed brakes after touchdown, the captain's lack of command authority, and a lack of robust training provided by the operator to support the flight crew's decision-making concerning when to call for a go-around.",25-09-2020,48.0,0.0,1.0
79185,20161028X72837,Accident,DCA17FA021,2016-10-28,"Chicago, IL",United States,KORD,Chicago O'Hare International A,Non-Fatal,Substantial,N345AN,Boeing,767,No,2.0,Turbo Fan,,0.0,20.0,1.0,149.0,VMC,,"The failure of the high-pressure turbine (HPT) stage 2 disk, which severed the main engine fuel feed line and breached the right main wing fuel tank, releasing fuel that resulted in a fire on the right side of the airplane during the takeoff roll. The HPT stage 2 disk failed because of low-cycle fatigue cracks that initiated from an internal subsurface manufacturing anomaly that was most likely not detectable during production inspections and subsequent in service inspections using the procedures in place. Contributing to the serious passenger injury was (1) the delay in shutting down the left engine and (2) a flight attendant's deviation from company procedures, which resulted in passengers evacuating from the left overwing exit while the left engine was still operating. Contributing to the delay in shutting down the left engine was (1) the lack of a separate checklist procedure for Boeing 767 airplanes that specifically addressed engine fires on the ground and (2) the lack of communication between the flight and cabin crews after the airplane came to a stop.",15-06-2021,170.0,0.0,0.8764705882352941
79249,20161116X13203,Incident,CEN17WA040,2016-11-14,"Albrook, Panama",Panama,MPMG,Marcos A. Gelabert Intl.,Non-Fatal,Minor,N303CZ,Bombardier,BD-100-1A10,No,2.0,,,0.0,0.0,0.0,2.0,VMC,,,25-09-2020,2.0,0.0,1.0
79273,20170419X83518,Accident,DCA17CA096,2016-11-21,"Hopewell, VA",United States,,,Non-Fatal,,N930AT,Boeing,717-200,No,2.0,Turbo Fan,,0.0,0.0,1.0,109.0,VMC,,the flight attendant's inadvertent bump into a retractable galley tray.,25-09-2020,110.0,0.0,0.990909090909091
79287,20161128X95011,Accident,ERA17WA059,2016-11-24,"Novo Progresso, Brazil",Brazil,,,Fatal,Substantial,PT-NCJ,Embraer,EMB710,No,,,,4.0,0.0,3.0,0.0,Unk,,,25-09-2020,7.0,0.5714285714285714,0.0
79296,20161208X21155,Incident,ENG17IA006,2016-11-29,"Kansas, IL",United States,,,Non-Fatal,,N367CA,Bombardier,CL-600-2C10,No,2.0,Turbo Fan,,0.0,0.0,0.0,73.0,Unk,,The probable cause of the uncontained No. 1 (left) engine failure was a separated high pressure turbine 2nd stage blade that failed due to a fatigue crack that originated below the blade platform from an area of corrosion.,25-09-2020,73.0,0.0,1.0
79297,20161209X15240,Accident,DCA17WA037,2016-11-29,"Georgetown, Guyana",Guyana,,,Non-Fatal,Substantial,N767WA,Boeing,767-319ER,No,2.0,Turbo Fan,,0.0,0.0,0.0,4.0,,,,25-09-2020,4.0,0.0,1.0
79305,20171012X93230,Incident,DCA17WA219,2016-12-02,"Nagpur, India",India,,,Non-Fatal,,VT-JFP,Boeing,737,No,,,,0.0,0.0,0.0,200.0,,,,25-09-2020,200.0,0.0,1.0
79309,20161205X55455,Incident,ENG17IA005,2016-12-04,"San Antonio, TX",United States,SAT,SAN ANTONIO INTL,Non-Fatal,Minor,N161SY,Embraer,ERJ170-200LR,No,2.0,Turbo Fan,,0.0,1.0,0.0,54.0,VMC,,A failure of the nose landing gear down lock spring which precluded normal downlock operation of the nose landing gear.  The spring failure was due to the presence of too much retained austenite which led to the formation of progressive cracking and subsequent failure of the spring.,13-09-2021,55.0,0.0,0.9818181818181818
79315,20161208X45131,Accident,DCA17WA035,2016-12-04,"Lajes Terceira Island, Portugal",Portugal,,,Non-Fatal,,A7-BAN,Boeing,777,No,,,,0.0,0.0,5.0,351.0,,,,25-09-2020,356.0,0.0,0.9859550561797753
79345,20170222X72740,Incident,DCA17WA065,2016-12-12,"Adelaide, Australia",Australia,,,Non-Fatal,,UNK,Boeing,737,No,,,,0.0,0.0,0.0,2.0,,,,25-09-2020,2.0,0.0,1.0
79349,20161216X60544,Accident,DCA17CA042,2016-12-14,"Denver, CO",United States,,,Non-Fatal,,N24202,Boeing,737-824,No,2.0,Turbo Fan,,0.0,0.0,1.0,102.0,IMC,,An inadvertent encounter with mountain wave turbulence.,07-12-2020,103.0,0.0,0.9902912621359223
79365,20161221X73450,Accident,DCA17WA044,2016-12-20,"Puerto Carreno, Colombia",Colombia,,,Fatal,Destroyed,HK4544,Boeing,727,No,,,,3.0,0.0,3.0,0.0,,,,25-09-2020,6.0,0.5,0.0
79366,20161221X11609,Incident,ENG17WA007,2016-12-21,"Toronto, Canada",Canada,,,Non-Fatal,,4X-EAM,Boeing,767,No,,,,0.0,0.0,0.0,224.0,,,,25-09-2020,224.0,0.0,1.0
79382,20161227X90219,Accident,DCA17WA047,2016-12-27,"Dabolim, Goa, India",India,,,Non-Fatal,Substantial,VT-JBG,Boeing,737,No,,,,0.0,10.0,0.0,151.0,,,,25-09-2020,161.0,0.0,0.937888198757764
79423,20170111X53648,Incident,DCA17WA053,2017-01-10,"Bournemouth, United Kingdom",United Kingdom,,,Non-Fatal,Minor,G-FDZY,Boeing,BOEING-737-8K5,No,2.0,Turbo Fan,,0.0,0.0,0.0,182.0,,,,25-09-2020,182.0,0.0,1.0
79441,20170116X90503,Accident,DCA17RA058,2017-01-16,"Bishkek, Kyrgyzstan",Kyrgyzstan,FRU,Manas International,Fatal,Destroyed,TC-MCL,Boeing,747,No,,,,4.0,0.0,0.0,0.0,,,,25-09-2020,4.0,1.0,0.0
79459,20170222X73751,Incident,DCA17WA068,2017-01-22,"Dhaka, India",India,,Dhaka,Non-Fatal,Minor,VT-JTD,Boeing,737,No,,,,0.0,0.0,0.0,2.0,,,,25-09-2020,2.0,0.0,1.0
79462,20170124X45041,Incident,ENG17IA008,2017-01-23,"Baltimore, MD",United States,BWI,Baltimore/Washington Intl Thur,Non-Fatal,,N8986B,Bombardier,CL-600-2B19,No,2.0,Turbo Fan,,0.0,0.0,0.0,51.0,Unk,,A Bombardier CRJ200 No. 2 engine failure due to the separation of a fan blade airfoil at a low cycle fatigue crack that originated at the forward fan blade pin hole attachment. The separated fan blade had previously undergone a hot form repair and both metallurgical analysis and repair records indicated that the lance/shot peen step required to restore sufficient residual stress levels to the blade material was not completed.,25-09-2020,51.0,0.0,1.0
79474,20170309X64014,Incident,SUR17WA001,2017-01-26,"Cancun, Mexico",Mexico,,,Non-Fatal,,N176AA,Boeing,757-223,No,,,,0.0,0.0,0.0,1.0,,,,,1.0,0.0,1.0
79482,20170201X65127,Accident,DCA17WA061,2017-01-28,"Leticia, Colombia",Colombia,,Leticia,Non-Fatal,Substantial,HK-5197,Boeing,737,No,,,,0.0,0.0,0.0,4.0,,,,25-09-2020,4.0,0.0,1.0
79496,20170222X74031,Incident,DCA17WA069,2017-02-01,"Yogykarta, Indonesia",Indonesia,,,Non-Fatal,,PK-GNK,Boeing,737,No,,,,0.0,0.0,0.0,126.0,,,,25-09-2020,126.0,0.0,1.0
79499,20170222X73532,Incident,DCA17WA067,2017-02-03,"Edinburgh, United Kingdom",United Kingdom,,,Non-Fatal,Minor,TF-BBB,Boeing,737,No,,,,0.0,0.0,0.0,2.0,,,,25-09-2020,2.0,0.0,1.0
79513,20170215X94452,Incident,ENG17WA012,2017-02-08,"Dehli, India",India,DEL,New Delhi,Non-Fatal,,VT-WGB,Airbus,A320,No,2.0,Turbo Fan,,0.0,0.0,0.0,193.0,,,,25-09-2020,193.0,0.0,1.0
79520,20170222X74447,Incident,DCA17WA070,2017-02-11,"Jeddah, Saudi Arabia",Saudi Arabia,,,Non-Fatal,Minor,YI-AQZ,Boeing,777,No,,,,0.0,0.0,0.0,365.0,,,,25-09-2020,365.0,0.0,1.0
79527,20170224X03359,Accident,DCA17CA072,2017-02-12,"Phoenix, AZ",United States,PHX,Phoenix Sky Harbor,Non-Fatal,,N7822A,Boeing,737-76N,No,2.0,Turbo Fan,,0.0,0.0,0.0,143.0,VMC,,the catering agent's lack of situational awareness when exiting the airplane that resulted in a serious injury.,25-09-2020,143.0,0.0,1.0
79529,20170222X80758,Accident,DCA17CA071,2017-02-13,"Dulles, VA",United States,KIAD,Washington Dulles Internationa,Non-Fatal,,N838CA,Bombardier,DHC-8-311,No,1.0,Turbo Prop,,0.0,0.0,1.0,52.0,VMC,,an inadvertent encounter with clear air turbulence.,25-09-2020,53.0,0.0,0.9811320754716981
79536,20170216X44213,Accident,DCA17CA064,2017-02-15,"Charlotte, NC",United States,CLT,Charlotte/Douglas Intl,Non-Fatal,Substantial,N709PS,Bombardier,CL-600-2C10,No,2.0,Turbo Fan,,0.0,0.0,0.0,48.0,VMC,,collision with a deer during takeoff.,25-09-2020,48.0,0.0,1.0
79570,20170223X45721,Incident,ENG17WA015,2017-02-23,"Sao Paulo, Brazil",Brazil,,,Non-Fatal,,PT-MZY,Airbus,A320,No,,,,0.0,0.0,0.0,137.0,,,,25-09-2020,137.0,0.0,1.0
79598,20170301X74824,Accident,DCA17WA073,2017-02-28,"Azraq, Jordan",Jordan,,,Non-Fatal,Substantial,N351AX,Boeing,767-33A,No,2.0,Turbo Fan,,0.0,0.0,0.0,217.0,,,,25-09-2020,217.0,0.0,1.0
79623,20170331X95128,Accident,DCA17CA087,2017-03-06,"Los Angeles, CA",United States,LAX,Los Angeles International,Non-Fatal,,N369NB,Airbus,A319-114,No,2.0,Turbo Fan,,0.0,0.0,1.0,120.0,VMC,,malfunction of the parking brake electrical control valve that resulted in a sudden stop.,25-09-2020,121.0,0.0,0.9917355371900827
79693,20170328X20623,Accident,DCA17WA080,2017-03-27,"Ardabil, Iran (Islamic Republic of)",Iran,OITL,Ardabil,Non-Fatal,Substantial,EP-TBJ,Boeing,737,No,,,,0.0,0.0,0.0,185.0,,,,25-09-2020,185.0,0.0,1.0
79698,20170328X25518,Accident,DCA17RA082,2017-03-28,"Jauja, Peru",Peru,,,Non-Fatal,Substantial,OB-2036-P,Boeing,737,No,,,,0.0,0.0,0.0,150.0,,,,25-09-2020,150.0,0.0,1.0
79765,20170426X40247,Accident,DCA17CA101,2017-04-14,"Orlando, FL",United States,,,Non-Fatal,,N373JB,Embraer,ERJ-190-100-IGW,No,,,,0.0,0.0,1.0,3.0,VMC,,"an inadvertent encounter with convective turbulence, which resulted in a serious injury to a flight attendant.",25-09-2020,4.0,0.0,0.75
79773,20170424X40402,Incident,DCA17WA097,2017-04-17,"Amsterdam, Netherlands (the)",Netherlands,,,Non-Fatal,Minor,VT-JEW,Boeing,777,No,,,,0.0,0.0,0.0,358.0,,,,25-09-2020,358.0,0.0,1.0
79819,20170502X65623,Accident,DCA17WA106,2017-04-28,"Keflavik, Iceland",Iceland,,,Non-Fatal,Minor,YL-PSH,Boeing,737,No,,,,0.0,0.0,0.0,141.0,,,,25-09-2020,141.0,0.0,1.0
79840,20170508X85232,Accident,DCA17CA111,2017-05-02,"Boston, MA",United States,,,Non-Fatal,,N595JB,Airbus,A320-232,No,2.0,Turbo Fan,,0.0,0.0,1.0,154.0,VMC,,an inadvertent encounter with convective turbulence.,25-09-2020,155.0,0.0,0.9935483870967742
79934,20170523X12020,Accident,DCA17LA122,2017-05-21,"Raleigh, NC",United States,KRDU,Raleigh-Durham International,Non-Fatal,Substantial,N633DL,Boeing,757,No,2.0,Turbo Fan,,0.0,0.0,0.0,186.0,VMC,,"the first officer's failure to attain a proper landing flare, which resulted in a tail strike.",25-09-2020,186.0,0.0,1.0
79937,20170523X15143,Accident,DCA17CA123,2017-05-22,"South Toledo Bend, TX",United States,,,Non-Fatal,,N512NK,Airbus,A319-132,No,2.0,Turbo Fan,,0.0,2.0,1.0,139.0,IMC,,an encounter with convective turbulence.,24-02-2021,142.0,0.0,0.9788732394366197
79939,20170530X51257,Incident,DCA17WA126,2017-05-23,"Multan, Pakistan",Pakistan,,,Non-Fatal,,AP-BGK,Boeing,777,No,,,,0.0,0.0,0.0,135.0,,,,25-09-2020,135.0,0.0,1.0
79942,20170525X34145,Accident,ANC17LA025,2017-05-23,"Juneau, AK",United States,,,Non-Fatal,Substantial,N207CH,Airbus,AS350,No,1.0,Turbo Shaft,,0.0,4.0,0.0,3.0,VMC,,"The pilot's decision to depart into an area of degraded visual meteorological and flat light conditions, which resulted in a loss of visual references and subsequent controlled flight into terrain. ",03-12-2020,7.0,0.0,0.42857142857142855
